VaMe,time
0.0232,0.001
0.0157,0.002
0.0127,0.003
0.0165,0.004
0.018,0.005
0.0082,0.006
-0.006,0.007
-0.0203,0.008
-0.024,0.009
-0.012,0.01
-0.003,0.011
0.003,0.012
0.0007,0.013
-0.0091,0.014
-0.0015,0.015
0.0082,0.016
0.0082,0.017
0.009,0.018
0.0052,0.019
0.0,0.02
-0.0083,0.021
-0.0098,0.022
-0.0083,0.023
-0.0091,0.024
-0.003,0.025
0.003,0.026
0.0045,0.027
0.0075,0.028
0.0142,0.029
0.0127,0.03
0.0037,0.031
-0.0008,0.032
0.0015,0.033
0.0037,0.034
-0.0046,0.035
-0.0143,0.036
-0.0188,0.037
-0.0263,0.038
-0.0293,0.039
-0.0203,0.04
-0.006,0.041
0.0135,0.042
0.0232,0.043
0.0112,0.044
-0.006,0.045
-0.012,0.046
-0.0135,0.047
-0.012,0.048
-0.0113,0.049
-0.0158,0.05
-0.0158,0.051
-0.0098,0.052
0.0052,0.053
0.0067,0.054
-0.0046,0.055
-0.0091,0.056
-0.0053,0.057
0.0067,0.058
0.0195,0.059
0.0255,0.06
0.0322,0.061
0.0277,0.062
0.0165,0.063
0.0195,0.064
0.0165,0.065
0.0075,0.066
-0.0046,0.067
-0.0225,0.068
-0.0278,0.069
-0.0135,0.07
0.006,0.071
0.0082,0.072
-0.0015,0.073
-0.0075,0.074
-0.0075,0.075
-0.0068,0.076
-0.0068,0.077
-0.0015,0.078
-0.003,0.079
-0.0068,0.08
-0.0158,0.081
-0.0181,0.082
-0.0165,0.083
-0.0165,0.084
-0.012,0.085
-0.0091,0.086
-0.0008,0.087
0.0172,0.088
0.0367,0.089
0.0262,0.09
0.003,0.091
-0.0068,0.092
-0.0143,0.093
-0.0181,0.094
-0.012,0.095
-0.0068,0.096
0.0037,0.097
0.0195,0.098
0.0255,0.099
0.0195,0.1
0.0142,0.101
0.024,0.102
0.0307,0.103
0.0127,0.104
-0.0091,0.105
-0.015,0.106
-0.0158,0.107
-0.012,0.108
0.0015,0.109
-0.0008,0.11
-0.0083,0.111
-0.0128,0.112
-0.0181,0.113
-0.0195,0.114
-0.021,0.115
-0.0195,0.116
-0.0188,0.117
-0.0143,0.118
-0.0091,0.119
-0.0083,0.12
-0.006,0.121
-0.0046,0.122
0.0045,0.123
-0.003,0.124
-0.0256,0.125
-0.0293,0.126
-0.021,0.127
-0.003,0.128
0.0285,0.129
0.0442,0.13
0.0367,0.131
0.0337,0.132
