VaMe,time
-0.0008,0.001
0.003,0.002
0.003,0.003
0.0082,0.004
0.006,0.005
0.0067,0.006
0.0067,0.007
0.0067,0.008
0.009,0.009
0.0067,0.01
0.0067,0.011
0.0045,0.012
0.0037,0.013
0.0045,0.014
0.0007,0.015
0.006,0.016
0.006,0.017
0.0045,0.018
0.0045,0.019
-0.0015,0.02
0.0,0.021
-0.0008,0.022
-0.0015,0.023
0.0015,0.024
0.0007,0.025
0.0037,0.026
0.003,0.027
0.0015,0.028
0.003,0.029
0.0022,0.03
0.0007,0.031
0.0007,0.032
0.0015,0.033
0.0045,0.034
0.0022,0.035
0.0,0.036
-0.003,0.037
-0.006,0.038
-0.0038,0.039
-0.003,0.04
-0.0046,0.041
-0.0015,0.042
0.0007,0.043
0.0052,0.044
0.0082,0.045
0.0067,0.046
0.006,0.047
0.0037,0.048
0.0037,0.049
0.0022,0.05
-0.0015,0.051
-0.0008,0.052
-0.0015,0.053
-0.0015,0.054
-0.0008,0.055
0.0007,0.056
0.003,0.057
0.0007,0.058
0.0007,0.059
0.0,0.06
-0.0008,0.061
-0.0008,0.062
-0.0015,0.063
0.0007,0.064
0.003,0.065
0.006,0.066
0.0105,0.067
0.0082,0.068
0.0067,0.069
0.0037,0.07
0.0007,0.071
0.0015,0.072
-0.003,0.073
-0.0008,0.074
-0.0015,0.075
-0.0038,0.076
0.0022,0.077
0.0045,0.078
0.0097,0.079
0.0075,0.08
0.0045,0.081
0.0067,0.082
0.0022,0.083
0.0022,0.084
0.0,0.085
-0.0008,0.086
-0.0015,0.087
-0.0015,0.088
-0.0015,0.089
-0.003,0.09
-0.0008,0.091
0.0007,0.092
0.0037,0.093
0.0007,0.094
0.0007,0.095
0.0015,0.096
-0.0008,0.097
-0.0008,0.098
0.0007,0.099
0.0,0.1
0.0007,0.101
0.003,0.102
0.0037,0.103
0.003,0.104
0.0037,0.105
0.0007,0.106
-0.0015,0.107
-0.0046,0.108
-0.0046,0.109
-0.0015,0.11
0.0,0.111
0.003,0.112
0.0052,0.113
0.0052,0.114
0.0052,0.115
0.0052,0.116
0.0067,0.117
0.0045,0.118
-0.0008,0.119
-0.003,0.12
-0.003,0.121
0.0015,0.122
0.0045,0.123
0.0052,0.124
0.0052,0.125
0.0022,0.126
0.0052,0.127
0.0052,0.128
0.0045,0.129
0.0075,0.13
0.0067,0.131
0.0075,0.132
0.0045,0.133
0.0015,0.134
-0.0015,0.135
-0.0015,0.136
0.0045,0.137
0.0007,0.138
-0.0008,0.139
-0.0015,0.14
-0.0038,0.141
-0.0008,0.142
-0.0008,0.143
-0.0008,0.144
0.0015,0.145
0.0007,0.146
-0.0008,0.147
0.0007,0.148
0.0022,0.149
0.0045,0.15
0.0052,0.151
0.009,0.152
0.006,0.153
0.0015,0.154
0.0007,0.155
-0.0015,0.156
-0.0008,0.157
0.0,0.158
-0.0008,0.159
-0.0023,0.16
0.0007,0.161
0.003,0.162
0.0052,0.163
0.0052,0.164
0.0037,0.165
0.0052,0.166
0.003,0.167
0.0052,0.168
0.0052,0.169
0.0045,0.17
0.0022,0.171
-0.0023,0.172
-0.003,0.173
-0.003,0.174
-0.003,0.175
0.0,0.176
0.0015,0.177
0.003,0.178
0.0015,0.179
0.0022,0.18
0.0022,0.181
0.0,0.182
0.0007,0.183
0.003,0.184
0.0037,0.185
0.0052,0.186
0.0022,0.187
0.0007,0.188
0.003,0.189
0.0015,0.19
0.0007,0.191
0.0015,0.192
0.0007,0.193
0.0015,0.194
-0.0008,0.195
0.0007,0.196
0.003,0.197
-0.0008,0.198
0.0022,0.199
0.0015,0.2
0.0007,0.201
0.0007,0.202
-0.0008,0.203
0.0015,0.204
-0.0008,0.205
0.0,0.206
0.0015,0.207
0.0022,0.208
0.0037,0.209
0.0007,0.21
0.0,0.211
-0.0015,0.212
-0.0015,0.213
0.0015,0.214
0.0007,0.215
0.0037,0.216
0.006,0.217
0.0045,0.218
0.0052,0.219
0.0052,0.22
0.009,0.221
0.0082,0.222
0.0052,0.223
0.0045,0.224
0.0015,0.225
0.003,0.226
-0.0008,0.227
-0.0008,0.228
-0.003,0.229
-0.0075,0.23
-0.0046,0.231
-0.0053,0.232
0.0015,0.233
0.0045,0.234
0.0045,0.235
0.0045,0.236
0.0022,0.237
0.0052,0.238
0.0037,0.239
0.0022,0.24
0.003,0.241
0.0052,0.242
0.0045,0.243
0.0007,0.244
-0.0008,0.245
-0.0023,0.246
0.0007,0.247
0.003,0.248
0.0015,0.249
0.0015,0.25
0.0015,0.251
0.003,0.252
0.0045,0.253
0.0037,0.254
0.0015,0.255
0.0015,0.256
0.0015,0.257
-0.0008,0.258
-0.0015,0.259
-0.0008,0.26
-0.0008,0.261
0.0007,0.262
0.003,0.263
0.0015,0.264
0.0022,0.265
-0.0008,0.266
-0.0008,0.267
0.0022,0.268
0.0015,0.269
0.003,0.27
0.0007,0.271
0.0,0.272
-0.0015,0.273
-0.0015,0.274
-0.0015,0.275
-0.0046,0.276
-0.0046,0.277
-0.0046,0.278
0.0007,0.279
0.0007,0.28
0.0015,0.281
0.0045,0.282
0.0052,0.283
0.0082,0.284
0.003,0.285
0.0045,0.286
0.003,0.287
0.0045,0.288
0.0067,0.289
0.0052,0.29
0.0037,0.291
0.0,0.292
0.0,0.293
-0.0015,0.294
0.0007,0.295
0.0015,0.296
0.0022,0.297
0.0037,0.298
-0.0008,0.299
0.0007,0.3
-0.0015,0.301
0.0,0.302
0.0022,0.303
-0.0008,0.304
0.0022,0.305
0.0015,0.306
0.0067,0.307
0.006,0.308
0.0045,0.309
0.0067,0.31
0.0015,0.311
0.0045,0.312
0.0037,0.313
0.0037,0.314
0.0052,0.315
0.0015,0.316
0.0022,0.317
0.0015,0.318
0.0037,0.319
0.0067,0.32
0.0052,0.321
0.006,0.322
0.0067,0.323
0.003,0.324
-0.0008,0.325
-0.0008,0.326
-0.0008,0.327
-0.0008,0.328
0.003,0.329
0.003,0.33
0.003,0.331
0.0022,0.332
-0.0015,0.333
0.003,0.334
0.0015,0.335
0.0015,0.336
0.003,0.337
-0.0015,0.338
0.0007,0.339
0.0,0.34
-0.0008,0.341
0.0,0.342
-0.0008,0.343
0.003,0.344
0.0022,0.345
-0.0008,0.346
0.0007,0.347
0.0015,0.348
0.0037,0.349
0.0052,0.35
0.003,0.351
0.0007,0.352
-0.0008,0.353
-0.0008,0.354
0.0007,0.355
-0.0008,0.356
-0.0008,0.357
-0.0015,0.358
-0.003,0.359
0.0007,0.36
-0.0015,0.361
-0.003,0.362
-0.0015,0.363
0.0,0.364
0.0045,0.365
0.003,0.366
0.0082,0.367
0.0052,0.368
0.0045,0.369
0.0052,0.37
0.0007,0.371
0.003,0.372
-0.0008,0.373
0.0007,0.374
0.0037,0.375
0.0037,0.376
0.0075,0.377
0.0037,0.378
0.0045,0.379
0.006,0.38
0.0045,0.381
0.0067,0.382
0.0052,0.383
0.0045,0.384
0.0015,0.385
-0.0023,0.386
-0.0008,0.387
-0.0046,0.388
-0.0008,0.389
-0.0015,0.39
-0.0008,0.391
0.0015,0.392
0.0007,0.393
0.0037,0.394
0.0015,0.395
0.0022,0.396
0.0015,0.397
-0.003,0.398
-0.0015,0.399
-0.0015,0.4
0.0022,0.401
0.0007,0.402
-0.0008,0.403
0.0022,0.404
0.0015,0.405
0.0052,0.406
0.0052,0.407
0.0067,0.408
0.0067,0.409
0.0037,0.41
0.0045,0.411
0.0007,0.412
-0.0015,0.413
-0.0008,0.414
-0.0015,0.415
-0.0008,0.416
-0.0023,0.417
0.003,0.418
0.0052,0.419
0.0082,0.42
0.0105,0.421
0.0052,0.422
0.003,0.423
-0.0023,0.424
-0.0038,0.425
-0.0053,0.426
-0.003,0.427
-0.0008,0.428
0.0,0.429
0.0007,0.43
0.0015,0.431
0.003,0.432
0.003,0.433
0.0037,0.434
0.0015,0.435
-0.0008,0.436
0.0,0.437
-0.0008,0.438
0.0,0.439
0.0,0.44
0.0007,0.441
0.0045,0.442
0.0067,0.443
0.0082,0.444
0.0067,0.445
0.0045,0.446
0.0015,0.447
-0.003,0.448
-0.0008,0.449
0.0,0.45
-0.0008,0.451
0.0007,0.452
0.0007,0.453
0.0022,0.454
0.0015,0.455
0.0022,0.456
0.0007,0.457
0.0037,0.458
0.009,0.459
0.0052,0.46
0.0067,0.461
0.0015,0.462
-0.003,0.463
-0.0023,0.464
-0.0053,0.465
0.0015,0.466
0.0,0.467
0.0015,0.468
0.0037,0.469
-0.0008,0.47
-0.0008,0.471
-0.0015,0.472
0.003,0.473
0.0045,0.474
0.0045,0.475
0.0015,0.476
-0.0015,0.477
0.0,0.478
0.0007,0.479
0.0022,0.48
0.0015,0.481
0.0015,0.482
0.003,0.483
0.003,0.484
0.0052,0.485
0.0045,0.486
0.0052,0.487
0.0037,0.488
0.0007,0.489
0.0015,0.49
0.0,0.491
0.0022,0.492
0.0007,0.493
-0.0008,0.494
0.0022,0.495
0.0015,0.496
0.0015,0.497
0.0022,0.498
0.003,0.499
0.0022,0.5
-0.0023,0.501
-0.0023,0.502
0.0,0.503
0.0022,0.504
0.003,0.505
0.003,0.506
0.0052,0.507
0.0052,0.508
0.0015,0.509
0.0022,0.51
0.0007,0.511
-0.0008,0.512
0.0,0.513
0.0015,0.514
0.003,0.515
0.003,0.516
0.0082,0.517
0.0097,0.518
0.0067,0.519
0.003,0.52
-0.003,0.521
-0.0053,0.522
-0.0046,0.523
-0.0015,0.524
0.0015,0.525
0.0007,0.526
0.0052,0.527
0.0052,0.528
0.0052,0.529
0.006,0.53
0.003,0.531
0.0045,0.532
0.0045,0.533
0.0015,0.534
-0.003,0.535
-0.0053,0.536
-0.0075,0.537
-0.0023,0.538
0.0,0.539
-0.0015,0.54
0.0007,0.541
0.0015,0.542
0.0052,0.543
0.0037,0.544
0.0,0.545
0.003,0.546
0.0022,0.547
0.0015,0.548
0.003,0.549
0.0045,0.55
0.0045,0.551
0.003,0.552
0.003,0.553
0.0007,0.554
-0.0008,0.555
-0.0008,0.556
0.0,0.557
0.0022,0.558
0.0045,0.559
0.0052,0.56
0.0037,0.561
0.003,0.562
0.0045,0.563
0.0022,0.564
0.0015,0.565
0.0015,0.566
0.0007,0.567
0.0022,0.568
0.0037,0.569
0.0037,0.57
0.0037,0.571
0.0022,0.572
-0.0038,0.573
-0.0075,0.574
-0.0053,0.575
-0.0053,0.576
-0.0015,0.577
-0.0008,0.578
-0.0008,0.579
0.0052,0.58
0.0045,0.581
0.009,0.582
0.0052,0.583
0.0052,0.584
0.009,0.585
0.0052,0.586
0.0067,0.587
0.0037,0.588
0.0045,0.589
0.003,0.59
-0.0015,0.591
0.003,0.592
-0.0015,0.593
-0.0008,0.594
-0.0008,0.595
-0.0008,0.596
0.003,0.597
0.0007,0.598
0.0067,0.599
0.0045,0.6
0.006,0.601
0.0045,0.602
-0.003,0.603
-0.0015,0.604
-0.0046,0.605
-0.0008,0.606
0.0022,0.607
0.003,0.608
0.0052,0.609
0.0015,0.61
0.0045,0.611
0.0015,0.612
0.0015,0.613
-0.0008,0.614
-0.0015,0.615
0.0022,0.616
0.0022,0.617
0.0045,0.618
0.0015,0.619
0.0007,0.62
0.003,0.621
0.0022,0.622
0.003,0.623
0.0007,0.624
0.0015,0.625
0.0045,0.626
0.0037,0.627
0.0045,0.628
0.0015,0.629
0.0022,0.63
0.0015,0.631
0.0007,0.632
0.0052,0.633
0.0007,0.634
0.003,0.635
0.0052,0.636
0.003,0.637
0.0052,0.638
-0.0023,0.639
-0.0015,0.64
-0.003,0.641
-0.0015,0.642
0.0045,0.643
0.0,0.644
0.0015,0.645
-0.0015,0.646
-0.0015,0.647
0.0015,0.648
0.0037,0.649
0.0082,0.65
0.0052,0.651
0.0022,0.652
-0.0015,0.653
-0.003,0.654
-0.0023,0.655
-0.0038,0.656
-0.0008,0.657
0.0015,0.658
0.0045,0.659
0.0067,0.66
0.0075,0.661
0.0052,0.662
0.003,0.663
0.0007,0.664
0.0,0.665
0.0007,0.666
0.0,0.667
-0.0008,0.668
-0.0008,0.669
0.0045,0.67
0.0045,0.671
0.0015,0.672
0.003,0.673
0.0015,0.674
0.0037,0.675
0.0015,0.676
0.003,0.677
0.003,0.678
-0.0015,0.679
0.0007,0.68
-0.0046,0.681
-0.0008,0.682
0.0015,0.683
-0.0008,0.684
0.0015,0.685
-0.0023,0.686
0.003,0.687
0.0022,0.688
0.003,0.689
0.0045,0.69
0.0,0.691
0.003,0.692
-0.0008,0.693
0.0,0.694
0.0022,0.695
0.003,0.696
0.0075,0.697
0.0052,0.698
0.0067,0.699
0.0067,0.7
0.0052,0.701
0.003,0.702
0.0015,0.703
0.0007,0.704
-0.0023,0.705
0.0,0.706
-0.0023,0.707
-0.0015,0.708
0.0007,0.709
0.0,0.71
0.0037,0.711
0.003,0.712
0.0022,0.713
0.0015,0.714
0.0,0.715
0.0037,0.716
0.0007,0.717
0.0022,0.718
0.0045,0.719
0.0015,0.72
0.0045,0.721
0.003,0.722
0.0045,0.723
0.0045,0.724
0.003,0.725
0.003,0.726
-0.0008,0.727
-0.003,0.728
-0.003,0.729
-0.0008,0.73
0.003,0.731
0.003,0.732
0.003,0.733
0.003,0.734
0.0015,0.735
-0.0008,0.736
-0.0015,0.737
0.0007,0.738
0.0007,0.739
0.0022,0.74
0.003,0.741
0.003,0.742
0.0045,0.743
0.0045,0.744
0.003,0.745
0.0015,0.746
0.0007,0.747
-0.003,0.748
-0.0038,0.749
0.0007,0.75
-0.0008,0.751
0.0045,0.752
0.0052,0.753
0.0067,0.754
0.0075,0.755
0.003,0.756
0.0037,0.757
0.0007,0.758
0.0007,0.759
-0.0015,0.76
-0.003,0.761
-0.0015,0.762
-0.0008,0.763
0.0037,0.764
0.0037,0.765
0.0052,0.766
0.0045,0.767
0.0045,0.768
0.0052,0.769
0.0,0.77
0.0,0.771
-0.0015,0.772
-0.0038,0.773
-0.0015,0.774
-0.0008,0.775
0.0,0.776
0.0007,0.777
0.0007,0.778
0.0007,0.779
0.0022,0.78
0.0037,0.781
0.003,0.782
0.0007,0.783
0.003,0.784
0.003,0.785
0.003,0.786
0.003,0.787
0.0037,0.788
0.0045,0.789
0.0015,0.79
0.0007,0.791
-0.0008,0.792
0.0015,0.793
0.0037,0.794
0.0052,0.795
0.0052,0.796
0.0045,0.797
0.0037,0.798
0.0,0.799
-0.0015,0.8
-0.0015,0.801
0.0,0.802
-0.0008,0.803
-0.0015,0.804
0.0,0.805
-0.0008,0.806
0.0007,0.807
0.0037,0.808
0.0067,0.809
0.006,0.81
0.006,0.811
0.006,0.812
0.0067,0.813
0.0052,0.814
0.0052,0.815
0.0067,0.816
0.003,0.817
0.0007,0.818
-0.003,0.819
-0.0053,0.82
-0.0083,0.821
-0.0068,0.822
-0.0046,0.823
-0.0038,0.824
-0.0008,0.825
-0.0015,0.826
-0.0015,0.827
-0.0008,0.828
0.003,0.829
0.0067,0.83
0.006,0.831
0.0105,0.832
0.0097,0.833
0.0082,0.834
0.0045,0.835
0.0022,0.836
0.003,0.837
-0.0015,0.838
-0.0015,0.839
-0.003,0.84
-0.0053,0.841
-0.0053,0.842
-0.0046,0.843
-0.0008,0.844
-0.0015,0.845
-0.0046,0.846
-0.0053,0.847
-0.0046,0.848
-0.0023,0.849
0.003,0.85
0.0067,0.851
0.009,0.852
0.012,0.853
0.0135,0.854
0.012,0.855
